iter	RMSE
317	461.7359181
318	460.3516171
319	459.1980393
320	458.8948427
321	458.5989708
322	458.3102512
323	458.0285149
324	457.7535973
325	456.1155668
326	455.8472412
327	454.5363242
328	454.2735282
329	454.0171019
330	453.7668941
331	452.0443904
332	451.8004568
333	450.1498755
334	448.8224166
335	448.5827836
336	448.3587365
337	447.2297811
338	447.0005248
339	446.7768397
340	446.558593
341	446.3456551
342	444.7617587
343	441.5595504
344	441.3077531
345	440.5158938
346	440.3096328
347	440.108393
348	439.9120542
349	438.9702798
350	438.7781765
351	438.5512898
352	438.3680326
353	437.4123818
354	437.2030788
355	434.5127446
356	434.3074322
357	434.1079208
358	433.3406733
359	433.1458863
360	432.5018037
361	432.3115172
362	431.7630625
363	431.5778174
364	430.9970536
365	430.7261018
366	430.4847909
367	428.8152144
368	428.149679
369	425.293523
370	423.7041832
371	422.8725059
372	422.696056
373	421.820516
374	421.6489184
375	418.66426
376	418.4966387
377	417.450217
378	416.7253759
379	416.560976
380	416.4012199
381	416.2459648
382	415.5785773
383	414.927277
384	414.7068779
385	411.8688698
386	409.085821
387	408.3016895
388	405.5805139
389	404.8520717
390	404.6350291
391	401.9577682
392	400.2110864
393	400.022702
394	397.4032178
395	397.2203961
396	394.649134
397	392.1266735
398	389.6537002
399	387.2265419
400	384.84593
401	382.4887498
402	380.1978998
403	378.7076077
404	376.459707
405	374.2554621
406	372.0953761
407	371.7863538
408	369.6666977
409	367.5886829
410	365.5516325
411	363.5548774
412	361.5961149
413	359.5209115
414	357.6403315
415	355.7955365
416	354.7519794
417	352.7886919
418	351.0108111
419	349.1262925
420	347.419763
421	345.6113554
422	343.9737697
423	342.7704535
424	341.0658274
425	339.7097139
426	339.4677687
427	338.7784516
428	337.0286389
429	335.3166375
430	333.7649955
431	333.5661235
432	332.0277042
433	330.4163688
434	329.5212984
435	329.326566
436	327.7377139
437	327.5079028
438	325.9135832
439	325.4321128
440	324.9831364
441	323.394507
442	322.4085548
443	322.2688558
444	320.824238
445	319.2793371
446	317.781129
447	317.6467778
448	316.164334
449	314.8324782
450	313.9877954
451	313.8079689
452	312.4990252
453	312.2837805
454	311.5046234
455	310.1031863
456	308.7403685
457	307.3964557
458	306.0834777
459	304.8069532
460	304.6782534
461	304.462866
462	303.2039585
463	302.9948502
464	301.8446962
465	300.4447374
466	299.2319738
467	297.8463034
468	297.6693446
469	297.463557
470	296.5949334
471	296.4787614
472	296.2801745
473	295.6909502
474	295.498067
475	295.3108178
476	294.4234001
477	294.2403668
478	293.1577801
479	292.9795032
480	291.9196211
481	291.3583188
482	291.2183382
483	289.983935
484	288.8009862
485	288.6950028
486	288.5918785
487	287.4785807
488	286.3471595
489	286.2453834
490	286.1463435
491	286.0499616
492	285.9123266
493	284.8280411
494	283.9747521
495	283.808952
496	282.6881162
497	282.5569746
498	281.4426683
499	280.4513219
500	280.2898584
501	279.2455095
502	279.0871865
503	278.1350737
504	277.148492
505	277.0547756
506	276.9304585
507	276.0306098
508	275.0269832
509	274.9345067
510	274.844535
511	273.8245952
512	273.6730237
513	272.9065777
514	272.7888494
515	271.6780217
516	270.3482965
517	269.3131194
518	268.3000965
519	267.2611479
520	267.1125166
521	266.1405346
522	266.0257099
523	265.6527818
524	264.6541764
525	263.678155
526	262.7242333
527	261.4545046
528	261.3092875
529	261.1680956
530	260.0491274
531	259.1221503
532	259.0129014
533	258.0353467
534	257.2330469
535	257.0954976
536	256.992727
537	256.2232321
538	255.1686201
539	254.4774533
540	253.7275466
541	252.8810151
542	252.0036033
543	251.1386245
544	250.0187635
545	249.6095709
546	248.7356912
547	247.9170981
548	246.8504088
549	246.7128293
550	246.1036775
551	245.312949
552	244.280944
553	244.1459085
554	243.1752872
555	243.0725982
556	242.1718918
557	242.0420267
558	241.5157586
559	240.5614391
560	240.4625881
561	240.306628
562	239.5145558
563	239.3633752
564	238.9972509
565	238.2706386
566	237.2871596
567	236.7500397
568	236.6681628
569	235.8246877
570	235.0896373
571	234.3453011
572	234.1900894
573	233.8497863
574	233.6980673
575	233.5504376
576	233.4700171
577	233.3571239
578	232.5526777
579	231.906791
580	231.7622676
581	231.6216345
582	231.5445384
583	230.8225732
584	230.7591841
585	230.6972453
586	230.6221399
587	230.5492737
588	230.4889133
589	230.4181867
590	230.1902972
591	230.0912302
592	229.3979415
593	228.8858661
594	228.1179709
595	227.4491202
596	227.3808919
597	227.3146777
598	226.661329
599	226.0235304
600	225.4009169
601	224.7931324
602	224.5865953
603	224.3851793
604	223.7061574
605	223.6493272
606	223.5938935
607	223.1906903
608	223.1252181
609	222.5240597
610	221.5678928
611	221.4775209
612	221.4150736
613	221.3301493
614	220.7551687
615	220.5620302
616	220.3326724
617	219.414967
618	219.0773178
619	218.5440899
620	218.4290531
621	218.3696053
622	217.8266089
623	217.7763633
624	217.2131216
625	216.6948156
626	216.5228717
627	216.3564658
628	216.1954111
629	216.0954919
630	215.9982283
631	215.8457432
632	215.6992485
633	215.6578058
634	215.5971229
635	214.849595
636	214.3178665
637	213.7996118
638	213.659739
639	213.5250871
640	213.3947402
641	213.351417
642	212.6330354
643	212.5519646
644	211.8654251
645	211.7921811
646	211.7542457
647	211.2784148
648	211.2412666
649	210.5355466
650	209.8809849
651	209.3232478
652	209.0004595
653	208.4031169
654	207.9274468
655	207.869417
656	207.4111575
657	207.2872969
658	207.1666841
659	207.0498742
660	206.473753
661	206.4170547
662	206.3035605
663	206.2484892
664	205.7018867
665	205.3978443
666	205.3438425
667	205.2914099
668	204.9685043
669	204.8115381
670	204.1579622
671	204.1064036
672	204.0427282
673	203.7472883
674	203.1092266
675	202.5987107
676	202.5338083
677	201.9170704
678	201.4316482
679	200.9614561
680	200.5036579
681	200.4547353
682	200.0034518
683	199.9583647
684	199.9120119
685	199.4845481
686	199.0504766
687	198.6214604
688	198.2054852
689	198.0717613
690	197.6514289
691	197.520797
692	196.96383
693	196.9178072
694	196.6312591
695	196.1589645
696	196.116601
697	195.9667242
698	195.6697511
699	195.2713125
700	195.1459211
701	195.0861876
702	194.6968609
703	194.5743875
704	194.4680609
705	194.34954
706	193.8361654
707	193.7952819
708	193.7529718
709	193.180669
710	192.7959934
711	192.3986747
712	191.9839921
713	191.8708318
714	191.4817406
715	191.4063665
716	191.3325544
717	190.9552575
718	190.4738218
719	190.4176879
720	190.0291188
721	189.923542
722	189.4604286
723	189.4058703
724	189.3651364
725	189.2989402
726	189.0350055
727	188.5835119
728	188.3172821
729	187.5157327
730	187.0040277
731	186.3356503
732	185.4670242
733	185.039934
734	184.9998413
735	184.9340415
736	184.4922104
737	184.4562954
738	184.1320066
739	183.5046896
740	183.084266
741	182.6756772
742	182.2281262
743	182.192934
744	182.1472042
745	181.7321411
746	181.6983755
747	181.5977847
748	181.5004208
749	181.0724929
750	180.7303
751	180.684069
752	180.4391942
753	180.1109811
754	180.0188616
755	179.925946
756	179.5359844
757	179.1530272
758	178.5842048
759	178.5489309
760	178.5146387
761	178.174422
762	178.1174181
763	177.5640994
764	177.3476904
765	177.1349679
766	176.6721676
767	176.2598199
768	175.7128444
769	175.4160313
770	175.3270018
771	175.2683757
772	175.1362941
773	174.7420059
774	174.7025111
775	174.6165467
776	173.9571022
777	173.6435761
778	173.0007682
779	172.9164187
780	172.8062858
781	172.7265989
782	172.6647365
783	172.4178394
784	172.3571905
785	172.2980606
786	171.6757188
787	171.2898223
788	170.9944853
789	170.9641995
790	170.673776
791	170.6386749
792	170.2763513
793	169.6516007
794	169.4018169
795	169.0351592
796	168.6998914
797	168.1079533
798	168.0327532
799	167.9574407
800	167.884156
801	167.2894427
802	166.8969087
803	166.8007205
804	166.4840362
805	166.1265095
806	165.6581064
807	165.4001134
808	164.9647909
809	164.654763
810	164.6249082
811	164.2842948
812	163.6050044
813	163.3499136
814	163.0793537
815	162.7578171
816	162.3958645
817	162.3664499
818	162.3353901
819	162.2839548
820	162.2536781
821	161.9426352
822	161.49665
823	161.0634079
824	161.0337996
825	161.0072497
826	160.9792784
827	160.6130137
828	160.4505559
829	160.2449832
830	159.796041
831	159.6248098
832	159.5973584
833	159.5726815
834	158.9461643
835	158.6978283
836	158.4546134
837	158.4240477
838	158.1920809
839	158.1172117
840	158.0876378
841	157.8188965
842	157.7541144
843	157.6982063
844	157.6109918
845	157.5424182
846	157.1929093
847	156.9646813
848	156.4655567
849	156.2792425
850	155.777064
851	155.5769384
852	155.5093477
853	154.9002664
854	154.7133585
855	154.5514828
856	154.2187568
857	153.9005193
858	153.7222957
859	153.400325
860	153.3341349
861	153.2700557
862	153.2080156
863	153.1479453
864	153.1013952
865	152.6234974
866	152.5956892
867	152.1322264
868	151.919024
869	151.6402289
870	151.5810304
871	151.5237259
872	151.4682508
873	151.3943764
874	151.2071732
875	151.153476
876	151.1120698
877	151.0824518
878	151.0314782
879	150.5740376
880	150.537828
881	150.2700053
882	150.219768
883	149.7887545
884	149.3531927
885	148.9799272
886	148.7209274
887	148.671614
888	148.6238696
889	148.5870064
890	148.5418757
891	148.5066542
892	148.4626208
893	148.3983164
894	148.3641594
895	147.9367983
896	147.6987584
897	147.3870369
898	147.3499958
899	147.1191667
900	147.0944277
901	147.0705457
902	147.0471897
903	146.9141921
904	146.511665
905	146.2423251
906	145.8386109
907	145.5401916
908	145.3025177
909	145.2797333
910	145.2479714
911	145.0298698
912	144.7458473
913	144.3620051
914	143.9700689
915	143.5900977
916	143.2216634
917	142.8926615
918	142.560309
919	142.4983006
920	142.2171427
921	142.0051212
922	141.7410187
923	141.6929686
924	141.4378219
925	141.3917479
926	141.3471571
927	141.2241071
928	141.1811399
929	141.139546
930	140.7644073
931	140.4182236
932	140.3476874
933	139.9150383
934	139.8930734
935	139.8350854
936	139.7925369
937	139.749712
938	139.7085004
939	139.406466
940	139.1858786
941	139.0785199
942	139.0379658
943	138.8342802
944	138.7945317
945	138.4493496
946	138.132927
947	137.8261562
948	137.5518264
949	137.2851333
950	137.1444722
951	137.1041159
952	136.8068206
953	136.5435778
954	136.5045803
955	136.4668324
956	136.4303701
957	136.3950653
958	136.198437
959	135.8865147
960	135.6119721
961	135.5115304
962	135.1768277
963	135.1432927
964	135.1108226
965	135.1017469
966	134.8183155
967	134.4967097
968	134.470232
969	134.4388104
970	134.4083925
971	134.378944
972	134.3244809
973	134.2964258
974	134.2439728
975	134.1126042
976	134.0616723
977	133.8634845
978	133.7700462
979	133.7438862
980	133.6504643
981	133.6251009
982	133.6005425
983	133.5800037
984	133.5600123
985	133.537222
986	133.2566248
987	132.9849182
988	132.6909521
989	132.4081834
990	132.2822738
991	132.0967699
992	131.9075411
993	131.8982801
994	131.5966633
995	131.5748014
996	131.4830166
997	131.1816285
998	130.8852364
999	130.8612058
